Index,Date,Month,Sales
142,10/1/2012,Oct,10611
143,11/1/2012,Nov,10763
144,12/1/2012,Dec,11670
145,1/1/2013,Jan,8126
146,2/1/2013,Feb,8566
147,3/1/2013,Mar,9703
148,4/1/2013,Apr,10051
149,5/1/2013,May,11688
150,6/1/2013,Jun,10880
151,7/1/2013,Jul,10724
152,8/1/2013,Aug,10954
153,9/1/2013,Sep,9992
154,10/1/2013,Oct,11004
155,11/1/2013,Nov,10659
156,12/1/2013,Dec,12152
157,1/1/2014,Jan,8292
158,2/1/2014,Feb,8834
159,3/1/2014,Mar,9775
160,4/1/2014,Apr,10688
161,5/1/2014,May,11547
162,6/1/2014,Jun,11625
163,7/1/2014,Jul,10784
164,8/1/2014,Aug,10809
165,9/1/2014,Sep,10656
166,10/1/2014,Oct,11665
167,11/1/2014,Nov,10347
168,12/1/2014,Dec,13171
169,1/1/2015,Jan,8410
170,2/1/2015,Feb,9061
171,3/1/2015,Mar,10691
172,4/1/2015,Apr,11059
173,5/1/2015,May,11451
174,6/1/2015,Jun,12824
175,7/1/2015,Jul,11791
176,8/1/2015,Aug,11180
177,9/1/2015,Sep,11927
178,10/1/2015,Oct,11924
179,11/1/2015,Nov,11467
180,12/1/2015,Dec,14161
181,1/1/2016,Jan,8648
182,2/1/2016,Feb,10321
183,3/1/2016,Mar,12107
184,4/1/2016,Apr,11420
185,5/1/2016,May,12238
186,6/1/2016,Jun,13681
187,7/1/2016,Jul,10950
188,8/1/2016,Aug,12700
189,9/1/2016,Sep,12272
190,10/1/2016,Oct,11905
191,11/1/2016,Nov,13016
192,12/1/2016,Dec,14421
193,1/1/2017,Jan,9043
194,2/1/2017,Feb,10452
195,3/1/2017,Mar,12481
196,4/1/2017,Apr,11491
197,5/1/2017,May,13545
198,6/1/2017,Jun,14730
199,7/1/2017,Jul,11416
200,8/1/2017,Aug,13402
201,9/1/2017,Sep,11907
202,10/1/2017,Oct,12711
203,11/1/2017,Nov,13261
204,12/1/2017,Dec,14265
205,1/1/2018,Jan,9564
206,2/1/2018,Feb,10415
207,3/1/2018,Mar,12683
208,4/1/2018,Apr,11919
209,5/1/2018,May,14138
210,6/1/2018,Jun,14583
211,7/1/2018,Jul,12640
212,8/1/2018,Aug,14257
213,9/1/2018,Sep,12396
214,10/1/2018,Oct,13914
215,11/1/2018,Nov,14174
216,12/1/2018,Dec,15504
