Market,Msize,Store,Age,Promo,Week,Sales
5,Medium,414,1,3,4,47.5
5,Medium,414,1,3,5,35.8
5,Medium,415,12,3,1,42.9
5,Medium,415,12,3,2,48.3
5,Medium,415,12,3,3,52.2
5,Medium,415,12,3,4,47.4
5,Medium,415,12,3,5,49
6,Medium,501,6,3,1,50.7
6,Medium,501,6,3,2,41.6
6,Medium,501,6,3,3,46.2
6,Medium,501,6,3,4,44.3
6,Medium,501,6,3,5,32.8
6,Medium,502,19,2,1,53.6
6,Medium,502,19,2,2,59.9
6,Medium,502,19,2,3,60.9
6,Medium,502,19,2,4,55
6,Medium,502,19,2,5,51.1
6,Medium,503,2,2,1,48.4
6,Medium,503,2,2,2,41.1
6,Medium,503,2,2,3,52.3
6,Medium,503,2,2,4,43.4
6,Medium,503,2,2,5,41.4
6,Medium,504,4,1,1,38.6
6,Medium,504,4,1,2,37.5
6,Medium,504,4,1,3,38.8
6,Medium,504,4,1,4,37
6,Medium,504,4,1,5,30.6
6,Medium,505,1,2,1,33.1
6,Medium,505,1,2,2,42.6
6,Medium,505,1,2,3,43.7
6,Medium,505,1,2,4,30.4
6,Medium,505,1,2,5,37
6,Medium,506,12,2,1,53
6,Medium,506,12,2,2,54.6
6,Medium,506,12,2,3,50.8
6,Medium,506,12,2,4,37.9
6,Medium,506,12,2,5,47.5
6,Medium,507,5,2,1,49.5
6,Medium,507,5,2,2,50.4
6,Medium,507,5,2,3,56.4
6,Medium,507,5,2,4,39.5
6,Medium,507,5,2,5,40
6,Medium,508,5,3,1,31.7
6,Medium,508,5,3,2,49
6,Medium,508,5,3,3,48.3
6,Medium,508,5,3,4,37.8
6,Medium,508,5,3,5,39.4
6,Medium,512,4,1,1,34.5
6,Medium,512,4,1,2,39.9
6,Medium,512,4,1,3,44.3
6,Medium,512,4,1,4,43.3
6,Medium,512,4,1,5,36.1
6,Medium,513,7,1,1,36.9
6,Medium,513,7,1,2,41.2
6,Medium,513,7,1,3,44.3
6,Medium,513,7,1,4,48.8
6,Medium,513,7,1,5,33.6
6,Medium,514,6,1,1,47
6,Medium,514,6,1,2,43.4
6,Medium,514,6,1,3,47.5
6,Medium,514,6,1,4,44
6,Medium,514,6,1,5,38.2
6,Medium,515,8,3,1,42.2
6,Medium,515,8,3,2,46.9
6,Medium,515,8,3,3,44.1
6,Medium,515,8,3,4,50.8
6,Medium,515,8,3,5,40.4
7,Small,601,7,3,1,46.3
7,Small,601,7,3,2,51.4
7,Small,601,7,3,3,47.6
7,Small,601,7,3,4,41.3
7,Small,601,7,3,5,42.9
7,Small,602,4,3,1,51.8
7,Small,602,4,3,2,50.4
7,Small,602,4,3,3,48.1
7,Small,602,4,3,4,54.5
7,Small,602,4,3,5,44.5
7,Small,603,4,2,1,45.5
7,Small,603,4,2,2,44.2
7,Small,603,4,2,3,58.1
7,Small,603,4,2,4,45.2
7,Small,603,4,2,5,33.4
7,Small,604,11,3,1,50.7
7,Small,604,11,3,2,49.4
7,Small,604,11,3,3,51.7
7,Small,604,11,3,4,54.3
7,Small,604,11,3,5,49
7,Small,605,8,3,1,50.9
7,Small,605,8,3,2,49.3
7,Small,605,8,3,3,48
7,Small,605,8,3,4,50.8
7,Small,605,8,3,5,46.1
7,Small,609,9,1,1,47.6
7,Small,609,9,1,2,48.5
7,Small,609,9,1,3,54
7,Small,609,9,1,4,51.3
7,Small,609,9,1,5,38.5
7,Small,610,4,1,1,49.3
7,Small,610,4,1,2,50.2
7,Small,610,4,1,3,50.9
7,Small,610,4,1,4,52.3
7,Small,610,4,1,5,34.5
7,Small,611,11,3,1,56.6
7,Small,611,11,3,2,51.7
7,Small,611,11,3,3,53.3
7,Small,611,11,3,4,57.6
7,Small,611,11,3,5,52.8
7,Small,612,1,3,1,46.1
7,Small,612,1,3,2,42.5
7,Small,612,1,3,3,52.8
7,Small,612,1,3,4,41.7
7,Small,612,1,3,5,44
7,Small,613,18,1,1,58.1
7,Small,613,18,1,2,58.7
7,Small,613,18,1,3,67.1
7,Small,613,18,1,4,58.8
7,Small,613,18,1,5,58.9
7,Small,614,8,2,1,55.2
7,Small,614,8,2,2,58
7,Small,614,8,2,3,50.9
7,Small,614,8,2,4,58.8
7,Small,614,8,2,5,48
7,Small,615,1,2,1,42.8
7,Small,615,1,2,2,54.2
7,Small,615,1,2,3,47.3
7,Small,615,1,2,4,45.4
7,Small,615,1,2,5,46.2
8,Medium,701,1,3,1,39.3
8,Medium,701,1,3,2,44.4
8,Medium,701,1,3,3,41.6
8,Medium,701,1,3,4,36.5
8,Medium,701,1,3,5,27.6
8,Medium,702,13,1,1,45.9
8,Medium,702,13,1,2,48.7
8,Medium,702,13,1,3,43.5
8,Medium,702,13,1,4,46.1
8,Medium,702,13,1,5,39.6
8,Medium,703,4,1,1,35
8,Medium,703,4,1,2,44.1
8,Medium,703,4,1,3,43.3
8,Medium,703,4,1,4,35.5
8,Medium,703,4,1,5,38.5
8,Medium,706,17,3,1,49.7
8,Medium,706,17,3,2,56
8,Medium,706,17,3,3,55.3
8,Medium,706,17,3,4,58.6
8,Medium,706,17,3,5,50.6
8,Medium,707,5,1,1,41.3
8,Medium,707,5,1,2,40
8,Medium,707,5,1,3,43.7
8,Medium,707,5,1,4,35.4
8,Medium,707,5,1,5,29.3
8,Medium,709,1,2,1,36.6
8,Medium,709,1,2,2,38.3
8,Medium,709,1,2,3,35.1
8,Medium,709,1,2,4,38.9
8,Medium,709,1,2,5,33.2
8,Medium,710,24,3,1,55.5
8,Medium,710,24,3,2,55
8,Medium,710,24,3,3,59.2
8,Medium,710,24,3,4,61.2
8,Medium,710,24,3,5,53.8
8,Medium,711,1,1,1,40.3
8,Medium,711,1,1,2,49.6
8,Medium,711,1,1,3,44.4
8,Medium,711,1,1,4,35.7
8,Medium,711,1,1,5,29.3
8,Medium,712,9,3,1,35.1
8,Medium,712,9,3,2,49.3
8,Medium,712,9,3,3,39.7
8,Medium,712,9,3,4,49.7
8,Medium,712,9,3,5,38
9,Medium,804,1,1,1,38.6
9,Medium,804,1,1,2,41.1
9,Medium,804,1,1,3,35.7
9,Medium,804,1,1,4,43
9,Medium,804,1,1,5,28.6
9,Medium,805,6,3,1,38.2
9,Medium,805,6,3,2,44.7
9,Medium,805,6,3,3,43.3
9,Medium,805,6,3,4,42.9
9,Medium,805,6,3,5,43.4
9,Medium,806,5,3,1,44.1
9,Medium,806,5,3,2,41.9
9,Medium,806,5,3,3,44.7
9,Medium,806,5,3,4,49.1
9,Medium,806,5,3,5,35.8
9,Medium,807,1,2,1,43.7
9,Medium,807,1,2,2,41.8
9,Medium,807,1,2,3,39.8
9,Medium,807,1,2,4,36.3
9,Medium,807,1,2,5,41.9
9,Medium,808,20,3,1,49.1
9,Medium,808,20,3,2,56.3
9,Medium,808,20,3,3,51.3
9,Medium,808,20,3,4,50.9
9,Medium,808,20,3,5,47.9
9,Medium,809,9,3,1,47.3
9,Medium,809,9,3,2,50.8
9,Medium,809,9,3,3,41.8
9,Medium,809,9,3,4,43.2
9,Medium,809,9,3,5,37.6
9,Medium,810,13,1,1,46.5
9,Medium,810,13,1,2,50.8
9,Medium,810,13,1,3,44.5
9,Medium,810,13,1,4,57.2
9,Medium,810,13,1,5,46.5
10,Large,904,10,2,1,36.1
10,Large,904,10,2,2,40
10,Large,904,10,2,3,47.4
10,Large,904,10,2,4,41.7
10,Large,904,10,2,5,41.5
10,Large,905,2,3,1,38.3
10,Large,905,2,3,2,33.7
10,Large,905,2,3,3,35.7
10,Large,905,2,3,4,31.1
10,Large,905,2,3,5,34.4
10,Large,906,13,2,1,46.8
10,Large,906,13,2,2,44.6
10,Large,906,13,2,3,45.4
10,Large,906,13,2,4,51.7
10,Large,906,13,2,5,39.2
10,Large,907,10,2,1,44.8
10,Large,907,10,2,2,45.9
10,Large,907,10,2,3,48.7
10,Large,907,10,2,4,42
10,Large,907,10,2,5,45.1
10,Large,908,3,2,1,32.9
10,Large,908,3,2,2,40.2
10,Large,908,3,2,3,43.7
10,Large,908,3,2,4,42.2
10,Large,908,3,2,5,34.4
10,Large,909,1,1,1,31.1
10,Large,909,1,1,2,37.7
10,Large,909,1,1,3,37
10,Large,909,1,1,4,39
10,Large,909,1,1,5,21.2
10,Large,910,1,1,1,32.2
10,Large,910,1,1,2,38.8
10,Large,910,1,1,3,35.2
10,Large,910,1,1,4,37.6
10,Large,910,1,1,5,21.6
10,Large,911,1,2,1,37
10,Large,911,1,2,2,38.5
10,Large,911,1,2,3,34.8
10,Large,911,1,2,4,34.1
10,Large,911,1,2,5,33.4
10,Large,912,6,2,1,47.3
10,Large,912,6,2,2,48.4
10,Large,912,6,2,3,39.4
10,Large,912,6,2,4,34.1
10,Large,912,6,2,5,32.7
10,Large,913,24,1,1,53.6
10,Large,913,24,1,2,53.1
10,Large,913,24,1,3,57.7
10,Large,913,24,1,4,51.7
10,Large,913,24,1,5,49
10,Large,914,9,2,1,40.6
10,Large,914,9,2,2,40.1
10,Large,914,9,2,3,50.8
10,Large,914,9,2,4,45
10,Large,914,9,2,5,37.9
10,Large,915,3,1,1,32.2
10,Large,915,3,1,2,41.8
10,Large,915,3,1,3,34.5
10,Large,915,3,1,4,38.9
10,Large,915,3,1,5,30.3
10,Large,916,7,2,1,40
10,Large,916,7,2,2,45
10,Large,916,7,2,3,48.5
10,Large,916,7,2,4,46.4
10,Large,916,7,2,5,40.2
10,Large,917,14,3,1,45.6
10,Large,917,14,3,2,45.2
10,Large,917,14,3,3,43.3
10,Large,917,14,3,4,40.2
10,Large,917,14,3,5,49.1
10,Large,918,6,1,1,36.4
10,Large,918,6,1,2,35.6
10,Large,918,6,1,3,41.8
10,Large,918,6,1,4,42.6
10,Large,918,6,1,5,28.7
10,Large,919,2,1,1,42.1
10,Large,919,2,1,2,33.9
10,Large,919,2,1,3,30.9
10,Large,919,2,1,4,36.4
10,Large,919,2,1,5,28.1
10,Large,920,14,2,1,42.7
10,Large,920,14,2,2,50
10,Large,920,14,2,3,52.9
10,Large,920,14,2,4,53.5
10,Large,920,14,2,5,37.4
1,Medium,1,4,3,1,32.4
1,Medium,1,4,3,2,39.8
1,Medium,1,4,3,3,44.4
1,Medium,1,4,3,4,40.4
1,Medium,1,4,3,5,27.6
1,Medium,2,5,2,1,39.8
1,Medium,2,5,2,2,48.9
1,Medium,2,5,2,3,53.6
1,Medium,2,5,2,4,45
1,Medium,2,5,2,5,43.8
1,Medium,3,12,1,1,46.1
1,Medium,3,12,1,2,49.5
1,Medium,3,12,1,3,53.9
1,Medium,3,12,1,4,44.7
1,Medium,3,12,1,5,45.2
2,Small,101,22,1,1,59.2
2,Small,101,22,1,2,67.8
2,Small,101,22,1,3,60
2,Small,101,22,1,4,57.5
2,Small,101,22,1,5,54.2
2,Small,102,8,3,1,53.3
2,Small,102,8,3,2,53.3
2,Small,102,8,3,3,51.4
2,Small,102,8,3,4,47
2,Small,102,8,3,5,43
3,Large,202,8,1,1,35.3
3,Large,202,8,1,2,46
3,Large,202,8,1,3,44.3
3,Large,202,8,1,4,38.5
3,Large,202,8,1,5,32.2
3,Large,203,12,3,1,41.9
3,Large,203,12,3,2,47.7
3,Large,203,12,3,3,39.1
3,Large,203,12,3,4,44.4
3,Large,203,12,3,5,32.9
3,Large,204,1,2,1,32.2
3,Large,204,1,2,2,28.1
3,Large,204,1,2,3,37.1
3,Large,204,1,2,4,38.1
3,Large,204,1,2,5,37
4,Small,308,28,2,1,65.8
4,Small,308,28,2,2,76.2
4,Small,308,28,2,3,74
4,Small,308,28,2,4,71.8
4,Small,308,28,2,5,62.4
4,Small,309,8,1,1,53.6
4,Small,309,8,1,2,45.6
4,Small,309,8,1,3,44.7
4,Small,309,8,1,4,50
4,Small,309,8,1,5,42.3
5,Medium,409,14,2,1,53.9
5,Medium,409,14,2,2,61.3
5,Medium,409,14,2,3,60.3
5,Medium,409,14,2,4,53.6
5,Medium,409,14,2,5,45.8
5,Medium,410,11,1,1,48
5,Medium,410,11,1,2,57.5
5,Medium,410,11,1,3,50
5,Medium,410,11,1,4,48.3
5,Medium,410,11,1,5,44.3
5,Medium,411,23,3,1,51.7
5,Medium,411,23,3,2,53.8
5,Medium,411,23,3,3,65.9
5,Medium,411,23,3,4,59
5,Medium,411,23,3,5,51.4
6,Medium,509,8,1,1,37.7
6,Medium,509,8,1,2,53.4
6,Medium,509,8,1,3,44.9
6,Medium,509,8,1,4,48.5
6,Medium,509,8,1,5,40.1
6,Medium,510,7,2,1,50.9
6,Medium,510,7,2,2,43.8
6,Medium,510,7,2,3,48.3
6,Medium,510,7,2,4,49.5
6,Medium,510,7,2,5,44.3
6,Medium,511,24,3,1,62.7
6,Medium,511,24,3,2,56.5
6,Medium,511,24,3,3,64.7
6,Medium,511,24,3,4,55.8
6,Medium,511,24,3,5,52.2
7,Small,606,8,3,1,49.7
7,Small,606,8,3,2,48.3
7,Small,606,8,3,3,51.7
7,Small,606,8,3,4,43.5
7,Small,606,8,3,5,50.8
7,Small,607,3,2,1,47.5
7,Small,607,3,2,2,49.5
7,Small,607,3,2,3,54.6
7,Small,607,3,2,4,45.3
7,Small,607,3,2,5,44.3
7,Small,608,18,1,1,50.2
7,Small,608,18,1,2,56.3
7,Small,608,18,1,3,56.6
7,Small,608,18,1,4,62.7
7,Small,608,18,1,5,48.2
8,Medium,704,27,1,1,61.8
8,Medium,704,27,1,2,58.1
8,Medium,704,27,1,3,57
8,Medium,704,27,1,4,60.8
8,Medium,704,27,1,5,58.9
8,Medium,705,22,3,1,55.3
8,Medium,705,22,3,2,62
8,Medium,705,22,3,3,58.1
8,Medium,705,22,3,4,62.2
8,Medium,705,22,3,5,50.6
8,Medium,708,15,2,1,52.4
8,Medium,708,15,2,2,57
8,Medium,708,15,2,3,50.5
8,Medium,708,15,2,4,46.9
8,Medium,708,15,2,5,49.8
9,Medium,801,3,1,1,38.9
9,Medium,801,3,1,2,41
9,Medium,801,3,1,3,45.9
9,Medium,801,3,1,4,38.9
9,Medium,801,3,1,5,32.8
9,Medium,802,9,2,1,47.2
9,Medium,802,9,2,2,50.1
9,Medium,802,9,2,3,45.6
9,Medium,802,9,2,4,41.1
9,Medium,802,9,2,5,44.9
9,Medium,803,10,3,1,49
9,Medium,803,10,3,2,45.6
9,Medium,803,10,3,3,47.1
9,Medium,803,10,3,4,40.2
9,Medium,803,10,3,5,37.1
10,Large,901,7,2,1,41.7
10,Large,901,7,2,2,42.4
10,Large,901,7,2,3,40.8
10,Large,901,7,2,4,41.9
10,Large,901,7,2,5,37.1
10,Large,902,1,1,1,22
10,Large,902,1,1,2,32.7
10,Large,902,1,1,3,38.6
10,Large,902,1,1,4,40.4
10,Large,902,1,1,5,24.3
10,Large,903,7,3,1,40.7
10,Large,903,7,3,2,40.5
10,Large,903,7,3,3,46.8
10,Large,903,7,3,4,43.8
10,Large,903,7,3,5,35.6

