"","Age","Income","LoanAmount","CreditScore","MonthsEmployed","NumCreditLines","InterestRate","LoanTerm","DTIRatio","HasMortgage","HasDependents","HasCoSigner","Default","edBachelor.s","edHigh.School","edMaster.s","edPhD","emptypeFull.time","emptypePart.time","emptypeSelf.employed","emptypeUnemployed","maritalDivorced","maritalMarried","maritalSingle","loanpurpAuto","loanpurpBusiness","loanpurpEducation","loanpurpHome","loanpurpOther"
"223604",37,38793,214931,525,35,4,18.41,48,0.87,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
"120115",41,81861,127827,514,4,1,22.25,36,0.1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"134192",41,63198,162140,689,53,3,8.53,36,0.51,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"254056",62,45769,54674,742,8,1,17.11,60,0.45,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
"249034",25,102366,249055,559,6,4,2.29,48,0.19,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"63786",29,105724,102401,402,65,4,11.01,48,0.63,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
"21752",21,149123,109522,528,106,1,2.13,24,0.1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
"126681",20,23378,244930,591,69,2,19.18,60,0.18,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"168801",22,99818,77864,615,35,4,20.67,12,0.78,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
"201697",27,122039,215631,849,69,2,20.23,12,0.31,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
"32051",39,17468,197575,365,103,2,13.55,24,0.48,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"143532",51,117125,59555,332,44,3,21.29,36,0.82,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"74438",28,20717,136923,596,79,3,8.37,48,0.68,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
"200830",46,94761,31838,356,52,2,21.53,60,0.42,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"9757",34,68859,47770,523,84,1,23.08,60,0.48,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"124850",59,28188,184651,526,34,3,19.78,12,0.13,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
"131926",46,15370,208174,700,2,3,6.23,60,0.24,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"128758",32,74853,37387,791,107,4,24.21,36,0.42,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
"132919",22,52085,232765,381,20,4,8.69,12,0.4,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"107762",22,40852,203263,767,80,3,6.15,12,0.33,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"137574",63,38036,137496,369,96,4,6.46,36,0.52,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
"100474",35,103210,117959,587,15,3,21.98,60,0.33,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"14979",33,15689,184849,747,115,1,10.46,12,0.12,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"164467",31,49949,175046,740,97,3,16.96,60,0.44,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
"221248",30,80402,152477,415,36,3,6.97,24,0.61,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"109925",26,89126,159389,419,82,2,19.06,24,0.44,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"75540",20,66253,154064,457,21,4,22.58,12,0.47,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"22125",33,110857,89399,595,53,4,11.63,60,0.49,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
"11939",26,75426,113126,781,26,3,23.79,12,0.13,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
"219250",18,128036,158359,589,38,3,11.36,24,0.62,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"31148",62,146037,16504,570,45,4,22.76,60,0.31,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"167978",22,120299,89792,654,52,1,20.29,48,0.11,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"124527",25,19110,170931,423,67,2,9.71,24,0.43,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
"143153",56,23502,102379,316,58,4,17.99,24,0.48,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
"192923",28,132351,84032,771,3,1,10.36,60,0.44,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
"252734",44,125216,218941,524,13,4,13.66,60,0.79,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"66578",31,92362,52542,808,2,1,5.09,60,0.26,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"879",28,56921,174949,627,95,2,20.98,36,0.54,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
"115480",41,140185,221776,582,101,1,13.27,24,0.69,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
"217431",31,48235,240304,734,55,4,16.84,48,0.21,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
"25810",45,21203,205755,348,61,2,2.56,60,0.24,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"235706",21,31074,123153,731,51,1,21.82,48,0.16,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"172127",67,21794,205571,628,41,3,8.59,48,0.53,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
"194529",30,115201,60940,776,17,2,17.67,36,0.14,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"217426",40,136062,120073,609,100,2,22.48,12,0.73,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"182185",59,138606,134480,332,28,1,12.38,24,0.35,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
"160411",35,132424,52770,804,48,2,22.06,48,0.45,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
"231849",57,65619,239698,504,23,2,16.7,48,0.64,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"17803",32,70851,124765,339,113,2,22.55,36,0.48,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"194416",19,19705,228730,375,117,4,9.47,12,0.45,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"250272",66,20275,191843,491,74,1,6.38,48,0.3,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"231126",27,51834,242351,407,47,3,21.43,12,0.51,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"16395",37,24616,239177,513,54,2,7.5,48,0.61,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"250956",64,87262,65761,607,75,2,15.77,60,0.44,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"115233",18,146093,20948,792,39,2,18.48,24,0.75,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
"117384",43,148906,124915,549,109,4,12.22,48,0.51,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"47899",52,71023,203211,810,16,2,16.68,48,0.55,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
"51296",57,21313,142491,325,72,3,11.87,60,0.54,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
"190287",27,147831,228925,455,92,2,8.93,24,0.28,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"137238",22,37472,10552,477,21,1,24.99,60,0.46,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
"4427",37,31962,217953,442,11,3,7.59,48,0.11,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"37684",20,128622,55941,333,108,1,5.85,48,0.63,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
"140475",21,45376,187784,436,90,2,10.99,60,0.1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"3255",37,135406,187502,677,8,3,21.05,60,0.59,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"179404",20,65166,141973,513,108,2,21.05,24,0.89,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
"64815",24,91000,229136,849,65,4,8.06,36,0.63,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
"153509",47,144595,232858,581,96,4,19.38,36,0.19,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"219047",37,94956,130926,564,14,4,15.08,24,0.18,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"216310",50,20300,203829,481,6,3,5.94,48,0.49,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"7508",34,67021,123008,371,67,3,6.45,24,0.34,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"20717",37,45772,136283,611,27,1,21.83,48,0.71,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"44024",28,59964,235036,570,102,4,12.98,24,0.3,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
"93135",50,88908,238129,514,106,3,9.92,12,0.42,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"80752",18,21574,17851,590,44,3,8.12,48,0.59,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
"47808",56,144777,107269,560,40,3,14.84,48,0.75,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
"148000",32,104914,154087,584,45,4,17.61,24,0.31,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"208688",26,27539,242507,749,62,2,16.57,36,0.66,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"160776",19,43918,32157,367,54,3,11.96,36,0.64,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
"116579",19,46397,82355,790,42,1,24.02,48,0.81,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
"134690",22,48506,102352,314,50,2,11.37,12,0.62,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
"121430",43,92872,136239,837,85,3,13.06,36,0.73,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"107698",24,40288,134272,359,109,4,12.72,60,0.88,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
"180499",37,111191,245178,574,19,3,20.56,12,0.1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"69071",28,70931,207256,518,86,2,23.39,24,0.29,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
"23980",30,56925,136615,646,61,3,17.83,48,0.57,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
"109981",57,46410,171640,632,77,4,11,24,0.63,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"35292",20,58360,237823,311,15,1,10.06,48,0.61,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
"135395",34,27700,98705,412,78,3,7.73,48,0.51,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
"102570",29,48398,69561,733,21,1,16.54,60,0.86,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"144535",54,63284,246903,804,26,1,24.48,48,0.49,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"58882",69,149772,234791,448,116,1,9.13,48,0.73,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"223008",68,18762,105558,487,56,4,13.02,24,0.33,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"142706",42,130579,120606,552,91,3,21.47,48,0.86,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
"36644",47,29163,240113,592,65,1,23.38,60,0.77,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
"140692",41,33445,168766,315,91,3,18.28,36,0.48,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
"63755",22,129974,242274,562,77,1,23.25,12,0.7,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"30206",28,46002,200343,620,27,2,14.83,48,0.87,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
"75393",20,37874,123359,559,39,2,23.88,12,0.34,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
"41065",18,59241,42902,588,5,4,13.5,36,0.55,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
"96518",19,45716,121992,425,48,1,24.17,12,0.46,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
"18325",48,120503,94056,561,114,3,14.72,24,0.24,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
"173824",18,123162,176093,308,0,3,21.92,12,0.23,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"9229",53,63286,234737,554,48,3,9.95,12,0.67,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
"3974",28,119243,148105,737,38,1,20.21,36,0.75,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
"61470",45,125425,215354,410,26,2,13.62,48,0.78,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"213340",50,28517,162394,617,85,4,15.37,60,0.81,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
"129405",39,75443,183714,735,26,4,19.04,36,0.74,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
"11631",25,143524,150431,801,11,2,7.97,48,0.79,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"39543",21,38609,123890,360,37,2,2.12,48,0.18,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"15430",24,74854,194398,646,86,1,6.13,12,0.24,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
"195510",39,91258,111904,439,1,4,19.32,60,0.19,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"13218",57,142866,231626,681,68,2,17.55,12,0.77,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
"217217",34,89980,212342,335,20,1,23.06,36,0.88,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
"70424",35,37995,242611,837,110,1,16.56,24,0.62,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"133640",24,92298,114570,590,75,1,22.21,24,0.6,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"122574",30,64134,17992,614,56,2,15.52,12,0.65,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"89285",43,62179,75712,709,30,4,24.7,12,0.75,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
"201010",20,17714,217065,772,74,4,22.47,36,0.13,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
"197365",20,128975,100735,472,7,4,20.63,60,0.47,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
"106164",56,20658,147418,303,8,1,17.71,60,0.6,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
"137178",66,73318,208168,438,39,4,15.19,48,0.61,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
"168765",36,49051,204224,302,14,4,6.89,12,0.39,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
"140894",58,62429,69252,660,0,2,23.83,60,0.37,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
"112583",19,82649,31634,508,3,1,12.04,48,0.51,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"199532",35,125155,31793,734,114,3,23.62,60,0.44,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
"250622",28,37010,101197,742,27,4,9.93,36,0.11,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"79910",49,99056,218116,515,18,1,18.84,12,0.13,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"166875",18,108843,91926,822,85,3,10.48,60,0.22,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
"20351",28,50692,196483,383,4,3,10.6,36,0.4,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
"125787",20,22927,234383,507,100,1,5.84,24,0.83,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
"27816",54,61818,126746,611,67,2,16.45,36,0.54,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
"76066",51,20335,198077,550,115,2,21.64,24,0.68,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"158525",28,56092,142186,609,69,4,24.2,36,0.17,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"39147",26,89771,55396,543,80,2,17.88,60,0.46,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
"149612",42,46556,229864,579,41,3,11.44,36,0.75,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
"21717",32,108962,159094,734,72,4,16.04,24,0.4,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
"93448",37,131949,154249,707,17,2,22.53,36,0.59,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
"187586",25,23663,189393,556,13,2,11.75,36,0.22,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
"108163",68,67332,37018,740,111,3,23.3,36,0.29,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"210544",69,78118,175273,692,20,4,19.04,24,0.59,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"131035",21,64579,92048,672,54,1,21.56,12,0.88,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
"89856",23,43868,159545,502,7,1,24.21,36,0.42,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
"39530",38,54891,43140,743,94,1,17.64,48,0.35,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"58749",44,62555,192428,561,103,2,20.85,60,0.71,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"116452",40,28716,215174,561,4,4,11.06,24,0.72,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"128404",32,26892,199349,811,9,2,2.7,36,0.52,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
"32624",65,53364,189745,419,7,4,4.51,24,0.28,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
"217435",24,19683,98546,839,76,1,23.68,24,0.34,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
"40712",42,32939,86291,479,64,4,18.42,48,0.11,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"133737",54,121146,45643,773,6,1,8.15,36,0.3,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"118484",68,112065,135728,631,13,4,19.53,48,0.45,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"165507",64,65006,11355,321,36,2,12.48,48,0.67,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
"223494",23,27131,170001,540,91,4,3.27,12,0.36,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
"36666",55,16338,100394,364,28,2,15.23,24,0.61,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
"71698",34,32895,40148,322,56,1,21.01,60,0.35,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"206353",25,45495,230801,335,94,4,19.9,60,0.47,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"188547",52,91512,139473,666,3,2,13.69,24,0.29,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
"91616",36,101146,193823,518,46,4,23.1,36,0.49,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"214862",31,97671,176937,679,17,1,19.46,24,0.22,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"228584",30,133059,232195,566,1,2,16.99,36,0.62,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"119064",35,47565,99144,510,104,4,19.89,60,0.24,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
"96584",44,136957,198961,438,73,1,13.1,24,0.34,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"79161",43,115027,168291,800,25,3,19.46,36,0.61,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"174328",32,56122,231352,811,8,3,3.46,60,0.71,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
"146965",52,135593,93170,525,45,2,17.32,48,0.7,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
"241389",69,59391,67515,348,25,4,20.24,24,0.83,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
"210652",23,17721,218809,459,10,1,23.62,48,0.11,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"162702",34,78508,166042,621,43,4,16.9,60,0.82,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"61107",27,93460,172023,604,77,2,18.24,48,0.82,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"89919",53,109051,165585,790,74,2,14.18,36,0.49,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
"206301",36,46028,183391,748,44,2,5.53,24,0.83,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
"178219",44,27070,176681,792,16,1,17.49,36,0.47,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
"173789",28,63310,229855,830,105,1,16.66,60,0.22,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
"744",28,77002,82577,653,11,1,16.17,24,0.35,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
"146979",49,92270,127641,772,38,2,7.61,60,0.76,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"249311",33,130427,48065,771,6,4,16.46,36,0.68,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"205999",32,18895,160319,745,30,3,18.06,24,0.85,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
"51726",47,33580,153171,479,75,2,10.11,48,0.77,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
"232418",23,102044,162781,524,22,4,19.04,24,0.35,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"185625",49,121502,238201,751,27,4,7.09,36,0.35,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
"102112",35,17781,238280,587,4,2,8,24,0.37,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
"190478",34,31448,123579,501,98,4,12.66,48,0.58,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
"21650",49,16999,143644,767,33,3,18.24,60,0.6,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
"164266",20,118882,128625,476,83,4,14.99,12,0.59,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
