"","Age","Income","LoanAmount","CreditScore","MonthsEmployed","NumCreditLines","InterestRate","LoanTerm","DTIRatio","HasMortgage","HasDependents","HasCoSigner","Default","edBachelor.s","edHigh.School","edMaster.s","edPhD","emptypeFull.time","emptypePart.time","emptypeSelf.employed","emptypeUnemployed","maritalDivorced","maritalMarried","maritalSingle","loanpurpAuto","loanpurpBusiness","loanpurpEducation","loanpurpHome","loanpurpOther"
"207635",37,42220,189867,645,113,1,19.02,24,0.14,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"235107",45,88312,167519,443,112,3,17.71,36,0.89,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"120675",29,130130,125434,449,55,3,6.72,24,0.21,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"26573",51,57254,61143,567,38,4,13.36,36,0.52,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"7263",62,38477,200894,607,9,2,20.91,36,0.24,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
"117008",43,112559,55179,641,32,4,22.82,12,0.58,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"59897",37,121807,82338,701,40,4,23.47,60,0.71,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
"190248",61,116546,104834,670,66,3,20.08,48,0.49,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"106069",36,114172,100842,833,21,3,7.17,48,0.85,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
"149331",49,143315,77424,562,69,1,7.68,60,0.27,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
"29784",55,100910,208797,599,3,4,23.28,36,0.88,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"177017",42,84598,140884,771,107,3,17.05,24,0.43,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
"85814",28,58852,7425,502,47,4,17.44,24,0.4,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
"8952",48,19285,128219,662,80,1,10.54,60,0.65,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"138163",26,128782,115862,841,69,4,18.53,48,0.81,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"154642",63,132468,245401,749,51,1,22.95,24,0.5,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"86001",18,48311,220611,624,105,1,8.44,36,0.4,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"23044",34,46049,224687,811,18,4,18.33,24,0.54,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
"21162",58,146585,27368,413,34,4,18.88,48,0.26,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"118587",18,87038,237114,586,98,4,9.47,36,0.33,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
"139640",38,45354,111549,826,81,3,3.86,12,0.89,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"83996",20,22057,58191,777,15,4,18.24,12,0.24,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
"93319",29,25524,206093,737,108,4,13.6,12,0.89,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
"252947",42,16292,144927,363,66,2,17.38,60,0.49,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
"32660",46,85435,182978,818,35,1,14.17,36,0.65,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"141750",56,23605,246815,795,25,3,13.28,48,0.54,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
"219830",57,76088,147241,608,37,4,24.65,12,0.64,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
"15385",34,123643,155282,696,60,1,14.22,60,0.5,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"58720",24,36772,133330,443,89,4,2.84,60,0.21,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
"182070",24,23768,13257,345,27,1,18.18,12,0.17,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"23747",67,137751,126612,437,108,2,7.03,24,0.56,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"38650",28,15636,124272,333,23,1,14.34,48,0.27,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
"220291",47,105552,125062,618,94,2,12.19,48,0.6,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"111058",69,113109,51551,613,100,3,15.48,48,0.69,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"80632",64,100381,114270,712,37,4,20.61,36,0.77,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
"146467",59,85694,120194,450,44,4,10.04,36,0.68,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
"83002",56,24120,57915,626,82,4,3.49,60,0.23,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
"143591",24,95754,209034,611,106,4,5.17,24,0.61,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
"82019",23,96886,138724,516,23,2,21.2,36,0.69,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
"104342",34,141522,21444,750,110,4,2.86,24,0.37,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"109424",51,45868,245998,701,66,1,8.66,24,0.86,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"88616",56,93885,131437,479,112,3,11.07,48,0.61,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"101859",66,85600,191933,525,68,3,2.3,36,0.24,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"238180",66,112320,180383,726,26,3,22.11,36,0.38,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"245255",19,106995,244324,739,115,2,5.35,36,0.58,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
"235913",23,135963,192877,400,4,2,11.29,12,0.35,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
"237756",31,39924,11935,803,43,1,9.6,36,0.5,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"12780",55,136618,235713,576,109,2,16.11,36,0.24,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
"224429",59,116516,129825,306,50,1,14.62,36,0.83,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"249436",40,33667,228092,739,47,1,17.4,24,0.45,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
"120196",26,50501,165622,840,24,2,4.72,36,0.88,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
"199360",64,135418,204612,831,48,1,18.87,24,0.65,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"17648",35,81693,11722,322,20,2,6.2,36,0.19,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"75100",22,120705,144868,426,40,4,5.02,12,0.26,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"111282",50,55812,56920,400,34,1,8.01,60,0.51,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
"64137",35,113633,134088,771,116,2,22.65,36,0.59,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
"72938",19,16496,78166,675,79,4,15.2,60,0.45,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
"183408",27,138381,103350,537,65,4,15.87,12,0.45,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"68561",45,134219,178646,558,77,3,11.36,24,0.51,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"248511",38,143981,132908,675,17,1,18.56,36,0.74,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
"31805",56,40083,70306,669,18,4,14.74,48,0.51,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
"123779",45,74263,218717,596,95,4,24.46,36,0.6,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
"167808",62,115240,65500,814,3,4,7.8,24,0.84,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"134133",55,29588,169388,596,117,3,7.83,24,0.14,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"237462",38,76009,230789,444,93,3,8.92,24,0.27,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
"71350",67,133455,236703,544,76,3,9.39,24,0.38,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"52223",36,134502,49140,465,84,3,20.63,48,0.17,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
"10486",41,113310,204698,610,6,2,7.39,36,0.31,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
"203219",52,147234,118518,698,116,1,21.87,12,0.72,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
"195944",60,146854,116283,400,118,2,18.27,12,0.25,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"149623",34,57915,28648,686,72,2,21.31,36,0.57,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
"206894",27,141421,176848,307,15,3,24.78,12,0.62,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
"165157",26,89736,32921,498,76,3,23.61,12,0.73,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
"37344",52,138258,165087,849,55,1,14.3,12,0.45,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"123491",56,98146,108626,704,60,1,6.58,12,0.52,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
"43339",30,72486,161471,758,83,3,4.8,60,0.79,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
"102489",54,67580,225876,404,54,4,21.97,60,0.72,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
"100682",69,56008,96672,344,9,3,18.36,24,0.15,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
"132632",25,66057,87286,322,18,2,14.06,48,0.65,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
"114278",69,96703,88793,362,7,4,3.07,36,0.25,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"37420",52,148689,187436,453,51,3,4.8,24,0.63,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
"21610",30,134235,162570,423,85,3,7.34,24,0.15,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
"245884",62,30667,28117,781,74,2,21.34,48,0.58,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
"41347",69,111554,237897,494,8,1,8.89,24,0.56,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"6026",52,45216,95602,458,13,4,14.36,12,0.66,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
"96883",22,19218,135875,573,110,4,20.14,48,0.36,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
"100400",42,146955,186469,313,20,2,13.93,36,0.35,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
"121272",45,16697,52250,743,43,2,10.39,48,0.26,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
"247104",33,112870,213678,785,108,1,22.09,36,0.74,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
"209050",40,54246,151051,716,35,1,23.18,12,0.7,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
"96433",22,39723,117633,330,114,4,5.8,48,0.54,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
"41476",45,61137,92941,664,58,2,24.43,48,0.51,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
"124165",18,96170,228971,411,38,3,21.19,24,0.34,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"20027",28,67838,220221,796,36,1,24.92,48,0.88,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
"154522",22,113085,127625,418,4,3,17.15,36,0.35,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"112222",56,131481,42307,552,72,1,14.32,12,0.31,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
"176096",31,145494,24330,704,13,1,3.34,36,0.41,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"253950",61,106578,35125,545,54,2,13.76,60,0.79,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"159351",24,31053,186788,749,24,3,4.9,36,0.78,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"121115",36,22194,168543,412,49,1,20.47,36,0.57,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
"251810",54,22920,133281,546,105,4,21.39,24,0.75,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"2360",30,15645,87734,700,116,1,22.98,60,0.56,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
"60450",69,57293,75992,456,29,3,18.98,12,0.44,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"121055",45,51343,190980,391,112,3,18.42,48,0.65,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"33654",64,67780,75055,426,76,1,13.37,24,0.87,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"112635",49,37329,17690,480,100,1,8.96,60,0.42,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
"142472",52,59361,74945,313,58,2,19.42,24,0.47,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
"138518",63,51902,248913,835,82,2,5.24,36,0.7,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"183713",55,31015,131714,520,39,4,9.49,24,0.4,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"180750",24,148672,69730,516,91,2,24.46,48,0.75,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
"141716",52,106818,221949,615,110,2,11.81,24,0.86,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
"81011",48,148163,84608,348,117,2,13.62,36,0.44,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
"209411",33,110474,146371,697,119,4,16.67,48,0.11,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"35106",43,56530,240906,562,95,2,12.94,36,0.32,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"205628",31,36388,150123,447,97,3,10.08,60,0.88,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
"40705",45,113703,32403,363,96,2,10.79,24,0.8,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
"66088",36,35151,170608,746,77,3,13.72,48,0.11,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
"81384",49,132917,26954,465,48,3,7.4,48,0.47,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"219887",48,84544,200639,713,28,3,13.94,48,0.79,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
"215261",54,134674,49649,728,87,1,19.82,12,0.72,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"138786",52,71269,44680,595,5,2,21.58,24,0.25,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"28299",19,84017,122896,565,29,2,19.91,12,0.64,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"250226",27,141295,231249,625,60,1,8.75,60,0.4,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
"5854",25,103863,51159,591,72,4,12.48,48,0.9,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
"240210",29,147210,72516,366,104,1,19.44,24,0.66,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"59466",20,68260,40538,403,17,3,11.35,12,0.4,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"217636",27,106244,185821,484,116,2,24.44,12,0.5,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"80068",29,92556,50184,671,58,1,21.45,48,0.3,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
"31677",62,60346,189363,401,60,2,19.63,36,0.24,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
"14298",35,107912,174403,579,39,3,23.95,36,0.65,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"203469",45,90351,152207,779,13,2,11.1,24,0.53,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
"24075",20,95653,40296,421,114,4,12.26,60,0.53,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
"158802",35,89206,14867,439,20,3,2.21,12,0.16,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
"121555",68,30441,195446,329,28,3,7.85,60,0.72,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"121260",42,34854,79287,754,104,3,12.56,60,0.4,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
"138353",41,87031,231166,730,5,4,3.71,36,0.27,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
"112063",55,88267,159190,843,68,1,17.75,48,0.59,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"164308",25,47605,187370,747,92,1,24.04,24,0.13,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
"213318",34,78179,114828,760,83,2,8.58,24,0.41,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"119495",53,21725,217056,339,94,3,20.64,36,0.85,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
"243014",59,48943,34640,448,107,4,14.85,36,0.7,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"132417",21,114530,191631,514,72,3,11.87,12,0.27,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
"251101",24,36748,234302,843,71,1,20.85,24,0.34,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"242308",44,132321,146489,814,34,2,9.45,60,0.52,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
"249951",19,77330,16988,336,83,1,20.94,48,0.53,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
"205238",35,81387,208168,695,2,1,7.2,12,0.24,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
"3354",39,41200,197009,528,46,1,23.16,24,0.22,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"152470",32,147650,220676,593,48,4,19.23,24,0.3,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"193439",24,21151,53964,772,94,3,10.63,12,0.28,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"45625",55,27676,184375,730,107,2,17.14,12,0.35,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
"141979",64,141044,192729,611,47,3,9.22,36,0.14,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"47217",55,15870,17686,315,73,4,11.09,12,0.67,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
"132948",20,90094,217613,330,31,1,24.68,24,0.14,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
"244612",20,73170,243086,390,119,3,5.66,36,0.5,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
